group,age,sample_id,n_roi_noncell_voxels,n_roi_noncell_nonzero,mean_AT8,std_AT8,median_AT8,AT8_positive_ratio_2std,AT8_positive_ratio_mean,AT8_positive_ratio_1std,total_cells,AT8_positive_cells_2std,AT8_positive_cells_mean,AT8_positive_cells_1std
PS19,9 Months,38,35147404,35147404,175.99936735014626,60.59206847876557,169.0,0.03125,0.61875,0.07916666666666666,480,15,297,38
PS19,9 Months,38,53294252,53294252,186.18973871703838,57.21045714144943,177.0,0.025380710659898477,0.5583756345177665,0.10998307952622674,591,15,330,65
PS19,9 Months,54,9498082,9498082,245.70800052052616,216.80519246211506,206.0,0.03488372093023256,0.7209302325581395,0.09302325581395349,172,6,124,16
PS19,9 Months,54,10180110,10180110,248.95698376540136,137.32974546762804,223.0,0.058823529411764705,0.7807486631016043,0.29411764705882354,187,11,146,55
PS19,9 Months,54,27579622,27579622,219.08071104092724,116.10764575764861,197.0,0.04,0.58,0.1825,400,16,232,73
PS19,9 Months,54,18878359,18878359,240.60678531433797,128.21428164811655,213.0,0.07317073170731707,0.7042682926829268,0.31402439024390244,328,24,231,103
PS19,9 Months,54,37666648,37666648,176.96219469807878,79.03038766374173,159.0,0.12179487179487179,0.6538461538461539,0.297008547008547,468,57,306,139
PS19,9 Months,42,88379334,88379334,148.90167199042256,50.199130692797446,137.0,0.035035035035035036,0.4624624624624625,0.14414414414414414,999,35,462,144
PS19,9 Months,42,36372912,36372912,224.92643036114347,127.22933646171752,205.0,0.035940803382663845,0.6194503171247357,0.19027484143763213,473,17,293,90
PS19,9 Months,42,85187283,85187283,190.14626104462096,74.07910925921807,184.0,0.01521216973578863,0.5340272217774219,0.10328262610088071,1249,19,667,129
PS19,9 Months,42,49993189,49993189,144.9578924041033,46.78588469142093,135.0,0.029411764705882353,0.5247678018575851,0.14241486068111456,646,19,339,92
PS19,9 Months,42,13150242,13150242,224.48472385527202,128.45239456848736,209.0,0.01646090534979424,0.6584362139917695,0.0411522633744856,243,4,160,10
PS19,9 Months,174,7974989,7974989,182.19678309274158,129.5574427868815,162.0,0.03783783783783784,0.6378378378378379,0.08648648648648649,185,7,118,16
PS19,9 Months,174,11624846,11624846,190.43754403284137,120.29809921695346,170.0,0.05442176870748299,0.5884353741496599,0.1054421768707483,294,16,173,31
PS19,9 Months,174,9356631,9356631,189.9629622029553,134.99116284795096,165.0,0.043478260869565216,0.5652173913043478,0.07905138339920949,253,11,143,20
PS19,9 Months,174,13931015,13931015,195.0067804104726,108.24566858162613,178.0,0.028662420382165606,0.5828025477707006,0.07643312101910828,314,9,183,24
PS19,9 Months,174,13508651,13508651,219.75323849879607,101.45995056938307,203.0,0.036414565826330535,0.5742296918767507,0.0784313725490196,357,13,205,28
PS19,6 Months,153,9996146,9996146,211.36134566261836,89.26377297757189,189.0,0.041884816753926704,0.680628272251309,0.2356020942408377,191,8,130,45
PS19,6 Months,153,47029116,47029116,153.4662043828338,47.03156393012578,146.0,0.02125,0.62125,0.14375,800,17,497,115
PS19,6 Months,153,5406068,5406068,205.91161376438475,122.99141472156927,183.0,0.0,0.7129629629629629,0.09259259259259259,108,0,77,10
PS19,6 Months,153,17667644,17667644,155.58305091499466,44.21446047725096,144.0,0.030395136778115502,0.5683890577507599,0.19148936170212766,329,10,187,63
PS19,6 Months,153,16763044,16763044,166.56541932360255,65.00656081632256,156.0,0.0030303030303030303,0.6151515151515151,0.07575757575757576,330,1,203,25
PS19,6 Months,178,7698945,7698945,464.1942760988681,227.92833719419002,407.0,0.08085106382978724,0.7659574468085106,0.3872340425531915,235,19,180,91
PS19,6 Months,178,4742506,4742506,292.1134598459127,196.11005195512104,242.0,0.03731343283582089,0.8059701492537313,0.3805970149253731,134,5,108,51
PS19,6 Months,178,4141641,4141641,556.083023613104,410.7817056647098,428.0,0.1694915254237288,0.711864406779661,0.4745762711864407,118,20,84,56
PS19,6 Months,178,9776390,9776390,438.3751708964147,221.09239915373607,378.0,0.07462686567164178,0.7723880597014925,0.48507462686567165,268,20,207,130
PS19,6 Months,178,5817290,5817290,388.79033639375035,216.8512919296108,330.0,0.06321839080459771,0.7873563218390804,0.5,174,11,137,87
PS19,6 Months,179,9083917,9083917,292.36717321393405,116.26621039619415,262.0,0.30864197530864196,0.7448559670781894,0.5720164609053497,243,75,181,139
PS19,6 Months,179,44217109,44217109,222.29752397426074,73.30892415673154,212.0,0.08817635270541083,0.7074148296593187,0.23647294589178355,499,44,353,118
PS19,6 Months,179,3475109,3475109,310.57245225977084,133.31543008465488,275.0,0.264,0.784,0.584,125,33,98,73
PS19,6 Months,179,29162749,29162749,285.4381195339301,107.02901930443318,264.0,0.1565934065934066,0.6593406593406593,0.2802197802197802,364,57,240,102
PS19,6 Months,179,17647789,17647789,273.6160584195561,151.9005706976328,246.0,0.08917197452229299,0.7133757961783439,0.3343949044585987,314,28,224,105
PS19,6 Months,167,11690606,11690606,164.0054409497677,35.807243619347076,159.0,0.017543859649122806,0.5298245614035088,0.09473684210526316,285,5,151,27
PS19,6 Months,167,18536758,18536758,170.85590047623214,60.974577751712026,163.0,0.019736842105263157,0.4309210526315789,0.049342105263157895,304,6,131,15
PS19,6 Months,167,51484860,51484860,148.90840742307543,66.77730773450834,145.0,0.002828854314002829,0.7213578500707214,0.015558698727015558,707,2,510,11
PS19,6 Months,167,6366799,6366799,168.3242879192511,56.67802975138223,160.0,0.0,0.616,0.072,125,0,77,9
PS19,6 Months,167,22491387,22491387,160.71898095924453,68.03325668859048,153.0,0.018518518518518517,0.3835978835978836,0.05026455026455026,378,7,145,19
PS19,6 Months,181,2154961,2154961,525.2786259240886,278.85432986911053,448.0,0.05319148936170213,0.7553191489361702,0.4787234042553192,94,5,71,45
